Context,English,Chinese_Traditional,Chinese
"NOT USED tutorial_stemple3_label",,,
"NOT USED tutorial_stemple3_text",,,
"OLD hud_altplace","Alternative placement","替代放置","替代放置"
"OLD inventory_stationlevel","Station level","Station level","Station level"
"OLD inventory_stationlevelreq","Required improvements","Required improvements","Required improvements"
"OLD inventory_upgrade","Upgrade item","升級物品","升级物品"
"OLD menu_exit","Exit","離開","出口"
"animal_fish","Fish","魚","鱼"
"biome_ashlands","Ashlands","灰燼之地","灰烬之地"
"biome_blackforest","Black forest","黑暗林山","黑暗林山"
"biome_darklands","Darklands","極黑之地","极黑之地"
"biome_deepnorth","Deep North","北方深境","北方深境"
"biome_edge","Edge of the World","世界盡頭","世界尽头"
"biome_forest","Forest","森林","Forest"
"biome_heath","Heath","荒野","荒野"
"biome_meadows","Meadows","青青草原","青青草原"
"biome_mistlands","Mistlands","迷霧之地","迷雾之地"
"biome_mountain","Mountain","凜冽雪山","凛冽雪山"
"biome_ocean","Ocean","無盡之海","无尽之海"
"biome_plains","Plains","北境平原","北境平原"
"biome_swamp","Swamp","泥濘沼澤","泥泞沼泽"
"button_lalt","L-Alt","左Alt","左alt"
"button_lctrl","L-Ctrl","左Ctrl","左ctrl"
"button_lshift","L-Shift","左Shift","左shift"
"button_mouse0","Mouse-1","滑鼠左鍵","鼠标左键"
"button_mouse1","Mouse-2","滑鼠右鍵","鼠标右键"
"button_mouse2","Mouse-3","滑鼠中鍵","鼠标中键"
"button_ralt","R-Alt","右Alt","右alt"
"button_rctrl","R-Ctrl","右Ctrl","右ctrl"
"button_return","Return","Enter","返回"
"button_rshift","R-Shift","右Shift","右shift"
"button_space","Space","空格","空格"
"chat_entertext","Enter text...","輸入文字……","输入文本……"
"chat_kill","Kill yourself","自殺","杀死你自己"
"chat_resetspawn","Reset spawn point","重設重生點","重置复活点"
"chat_shout","Shout","大喊","大喊"
"chat_whisper","Whisper","密語","悄悄话"
"customization_beard01","Long 1","長鬍鬚1","长胡须1"
"customization_beard02","Long 2","長鬍鬚2","长胡须2"
"customization_beard03","Short 1","短鬍鬚1","短胡须1"
"customization_beard04","Short 2","短鬍鬚2","短胡须2"
"customization_beard05","Braided 1","辮子1","辫子1"
"customization_beard06","Braided 2","辮子2","辫子2"
"customization_beard07","Short 3","短鬍鬚3","短胡须3"
"customization_beard08","Thick 1","厚鬍鬚1","厚胡须1"
"customization_beard09","Braided 3","辮子3","辫子3"
"customization_beard10","Braided 4","辮子4","辫子4"
"customization_hair01","Ponytail 1","馬尾辮1","马尾辫1"
"customization_hair02","Ponytail 2","馬尾辮2","马尾辫2"
"customization_hair03","Braided 1","辮子1","辫子1"
"customization_hair04","Ponytail 3","馬尾辮3","马尾辫3"
"customization_hair05","Short 1","短髮1","短发1"
"customization_hair06","Long 1","長髮1","长发1"
"customization_hair07","Ponytail 4","馬尾辮4","马尾辫4"
"customization_hair08","Short 2","短髮2","短发2"
"customization_hair09","Side Swept 1","邊分1","边分1"
"customization_hair10","Side Swept 2","邊分2","边分2"
"customization_hair11","Braided 2","辮子2","辫子2"
"customization_hair12","Braided 3","辮子3","辫子3"
"customization_hair13","Braided 4","辮子4","辫子4"
"customization_hair14","Side Swept 3","邊分3","边分3"
"customization_nobeard","No beard","無鬍鬚","无胡须"
"customization_nohair","No hair","光頭","光头"
"deadspeak_bonemass","Thank you, warrior. We who lived on in this shape were denied the peace of death for too long. We go now...","感謝你，勇士。 像我們這樣的靈體從來沒有得到過正真的平靜，即使我們已經死去。 現在我們可以離開了...","感谢你，勇士。 像我们这样的灵体从来没有得到过正真的平静，即使我们已经死去。 现在我们可以离开了..."
"deadspeak_eikthyr","So you were my death? You look so small and soft… Tell Odin he may have broken this form but the wilderness will never submit to his rules...","所以你就是我的擊殺者? 你看起來微小又軟弱... 告訴奧丁，他是摧毀了我的肉身，但是我的靈魂永遠不會對他屈服。","所以你就是我的击杀者? 你看起来微小又软弱... 告诉奥丁，他是摧毁了我的肉身，但是我的灵魂永远不会对他屈服。 "
"deadspeak_elder","Little thing of blood and bone, I should have snapped you like a twig! Now I wither and die, let the great tree have me...","用血和骨做成的低等生物，我早該把你像樹枝一樣折斷的！而我現在卻要在枯萎中死去，讓我與世界之樹融為一體吧...","用血和骨做成的低等生物，我早该把你像树枝一样折断的！而我现在却要在枯萎中死去，让我与世界之树融为一体吧..."
"deadspeak_moder","Sheathe your pride, creature of Odin! My long reign is at an end but those who come after me are greater still...","收起你的高傲吧，奧丁捏的小泥人！雖然我的長期統治已經結束，但是我的追隨者仍會更加強大...","收起你的高傲吧，奥丁捏的小泥人！虽然我的长期统治已经结束，但是我的追随者仍会更加强大..."
"deadspeak_yagluth","Do you come to gloat, little thing? Do you know how many times I have been killed, broken, banished, burned and buried? You are not the first and you will not be the last.","小東西，你是來嘲笑我的嗎？你知道我已經被殺戮，撕裂，放逐，焚燒，掩埋過多少次了嗎？你不是第一個這樣做的人，也不會是最後一個。","小东西，你是来嘲笑我的吗？你知道我已经被杀戮，撕裂，放逐，焚烧，掩埋过多少次了吗？你不是第一个这样做的人，也不会是最后一个。 "
"dream_bonemass01","You dream of a hundred ghosts crowding thickly around your bedside, seeking warmth and life until something thumps deep below the ground and they jump like crumbs on a drumskin and are gone.","你夢到成百上千的幽靈在你床前周圍徘徊，似乎想從你這裡得到溫暖和生命的氣息。 然而地下卻傳來了巨響，而這些躁動的靈魂轉瞬即逝。","你梦到成百上千的幽灵在你床前周围徘徊，似乎想从你这里得到温暖和生命的气息。 然而地下却传来了巨响，而这些躁动的灵魂转瞬即逝。 "
"dream_eikthyr01","You dream of running through a meadow, the sky alight with pale fire. There is a thunder of hoofbeats behind you but when you turn, nothing is there.\n\nYou awaken with your heart pounding in your chest.","你夢到你在青青草原上奔跑，天空中飄落微弱的火焰。 你聽到了如雷的踢聲，你猛然轉身，卻什麼都沒看見。 \n\n你在自己砰砰的心跳中醒來。","你梦到你在青青草原上奔跑，天空中飘落微弱的火焰。 你听到了如雷的踢声，你猛然转身，却什么都没看见。 \n\n你在自己砰砰的心跳中醒来。 "
"dream_elder01","In your dream, the forest rises before you, dragging the trees upward like a cloak, its dark mass hiding the stars. At the mountain's peak, vast antlers frame the moon...","在你的夢裡，森林被一股無形之力像斗篷一樣被掀起，無盡的黑暗遮住了星星，天地渾濁。 在山頂上，犄角勾勒出了月亮的形状...","在你的梦里，森林被一股无形之力像斗篷一样被掀起，无尽的黑暗遮住了星星，天地浑浊。 在山顶上，犄角勾勒出了月亮的形状..."
