"//  COLOR KEY:\n// GREEN is READY FOR TRANSLATION\n// YELLOW is IN PROGRESS, DON'T TRANSLATE\n// RED is UNUSED, DON'T TRANSLATE\n//PURPLE NEEDS UPDATE (pls change to blue after update)\n//BLUE is UPDATED TEXTS",,
"menu_startgame","Start Game","開始遊戲"
"menu_joingame","Join Game","加入遊戲"
"menu_settings","Settings","設定"
"menu_credits","Credits","致謝名單"
"OLD menu_exit","Exit","離開"
"menu_exit","Quit","結束遊戲"
"menu_selectcharacter","Select Character","選擇角色"
"menu_back","Back","返回"
"menu_new","New","新建"
"menu_remove","Remove","刪除"
"menu_start","Start","開始"
"menu_newcharacter","New Character","新角色"
"menu_done","Done","完成"
"menu_cancel","Cancel","取消"
"menu_name","Name","名字"
"menu_characterexist","A character with that name already exists.","該角色名字已存在"
"menu_skintone","Skin Tone","膚色"
"menu_hairtone","Hair Tone","髮色"
"menu_blondness","Blondness","髮色亮度"
"menu_hair","Hair","頭髮"
"menu_beard","Beard","鬍鬚"
"menu_selectworld","Select World","選擇世界"
"menu_serverpassword","Server Password","伺服器密碼"
"menu_startserver","Start Server","啟動伺服器"
"menu_public","Public","公開"
"menu_communityserver","Community Server","社群伺服器"
"menu_friends","Friends","好友"
"menu_passwordshort","The password is too short","密碼太短"
"menu_passwordinvalid","Invalid password","密碼無效"
"menu_community","Community","社群"
"menu_newworld","New World","新的世界"
"menu_seed","Seed","種子"
"menu_entername","Enter Name","輸入名字"
"menu_enterseed","Enter Seed","輸入種子"
"menu_worldnametip","5 characters minimum","至少五個字元"
"menu_selectserver","Select Server","選擇伺服器"
"menu_connect","Connect","連接"
"menu_loading","Loading...","載入中..."
"menu_ok","OK","確認"
"menu_close","Close","關閉"
"menu_closemenu","Close Menu","關閉選單"
"menu_logout","Logout","登出"
"menu_logoutconfirm","Logout?","確定要登出嗎？"
"menu_exitconfirm","Quit the Game?","確定結束遊戲？"
"menu_yes","Yes","確認"
"menu_no","No","取消"
"menu_enterpassword","Enter Password","輸入密碼"
"menu_password","Password","密碼"
"menu_sex","Sex","性別"
"menu_male","Male","男"
"menu_female","Female","女"
"menu_removecharacter","Remove Character?","刪除角色？"
"menu_removeworld","Remove World?","刪除世界？"
"menu_ndaaccept","Accept","接受"
"menu_ndadecline","Decline","拒絕"
"menu_resettutorial","Reset Tutorial","重設教學"
,,
,,
"feedback_topic","Feedback","回饋"
"feedback_subject","Subject","主題"
